customer,email
1,15863.3213744941@gmail.com
2,10797.7353479015@gmail.com
3,1536.53618342313@gmail.com
4,19630.0803133333@gmail.com
5,8373.79555526073@gmail.com
6,16903.7346893828@gmail.com
7,6448.36913237488@gmail.com
8,17101.2574693526@gmail.com
9,9175.06019453518@gmail.com
10,3604.68011912587@gmail.com
11,16669.9333866402@gmail.com
12,8662.1639466607@gmail.com
13,12408.8157424517@gmail.com
14,19474.0408832459@gmail.com
15,7138.14888605964@gmail.com
16,557.677116202656@gmail.com
17,4672.85895325686@gmail.com
18,17427.9260161102@gmail.com
19,6634.08958141902@gmail.com
20,13948.1854863127@gmail.com
21,4167.53169770516@gmail.com
22,19680.3323904818@gmail.com
23,2823.33350868057@gmail.com
24,19845.2702792399@gmail.com
25,11722.1532536065@gmail.com
26,2329.03937800974@gmail.com
27,2501.76816819422@gmail.com
28,456.828012615675@gmail.com
29,10299.2631498589@gmail.com
30,17182.6430626791@gmail.com
31,17771.43990704@gmail.com
32,9223.13264346775@gmail.com
33,1950.79445633758@gmail.com
34,10750.5600157734@gmail.com
35,11812.9711549191@gmail.com
36,6221.6871739598@gmail.com
37,18267.9354624418@gmail.com
38,15935.5354590244@gmail.com
39,13117.3592642297@gmail.com
40,9179.18956548441@gmail.com
41,14500.9611054927@gmail.com
42,2579.60377928382@gmail.com
43,13070.374643459@gmail.com
44,11587.0468407571@gmail.com
45,6427.98297903454@gmail.com
46,2722.62533509196@gmail.com
47,15275.0789559921@gmail.com
48,9172.65165867633@gmail.com
49,10538.4340131241@gmail.com
50,13457.6418741981@gmail.com
51,7656.39219017187@gmail.com
52,19406.7743422021@gmail.com
53,1307.5796345775@gmail.com
54,5657.1202501622@gmail.com
55,4664.73121395451@gmail.com
56,18768.5671265747@gmail.com
57,19361.4027333856@gmail.com
58,5256.26389578381@gmail.com
59,11357.5713383558@gmail.com
60,4640.2579276883@gmail.com
61,15994.7268778603@gmail.com
62,17161.2947196232@gmail.com
63,15089.5131080782@gmail.com
64,1935.88827094692@gmail.com
65,15670.9395314432@gmail.com
66,5134.95278642559@gmail.com
67,8297.77065670909@gmail.com
68,11269.5860759963@gmail.com
69,19151.1877882641@gmail.com
70,6818.14408478071@gmail.com
71,18374.0951348725@gmail.com
72,19446.0035850697@gmail.com
73,2909.43469257816@gmail.com
74,148.452702091541@gmail.com
75,14685.8315649547@gmail.com
76,3790.76389619196@gmail.com
77,11491.9601937279@gmail.com
78,17028.1293467327@gmail.com
79,199.537121141795@gmail.com
80,19478.9246482949@gmail.com
81,7490.92701759422@gmail.com
82,10220.4797558936@gmail.com
83,16392.1772951183@gmail.com
84,10946.4933404156@gmail.com
85,5532.21769815916@gmail.com
86,2208.01434732857@gmail.com
87,14748.2911851893@gmail.com
88,6246.23043630528@gmail.com
89,7302.45150488848@gmail.com
90,1035.78139063274@gmail.com
91,19262.9583101748@gmail.com
92,6631.74929412245@gmail.com
93,18369.0370349546@gmail.com
94,9574.99988462566@gmail.com
95,7271.34963812563@gmail.com
96,17007.3596333992@gmail.com
97,14659.5554400892@gmail.com
98,3139.36648762901@gmail.com
99,17521.8398374163@gmail.com
100,12385.2448626377@gmail.com
101,18334.2406286364@gmail.com
102,18519.1566833719@gmail.com
103,839.925650594756@gmail.com
104,11145.0397230973@gmail.com
105,8461.77665016009@gmail.com
106,6791.24642165075@gmail.com
107,17977.3050295555@gmail.com
108,4352.78816175996@gmail.com
109,4993.34006030671@gmail.com
110,19219.019576594@gmail.com
111,9384.23874586867@gmail.com
112,11551.7655283341@gmail.com
113,4981.39521621354@gmail.com
114,14640.9905553004@gmail.com
115,5990.88930153381@gmail.com
116,2045.74543042155@gmail.com
117,86.2469570096582@gmail.com
118,8220.79495329107@gmail.com
119,17190.6948005464@gmail.com
120,18351.7772543333@gmail.com
121,979.933783494635@gmail.com
122,14339.5809518443@gmail.com
123,10092.210985692@gmail.com
124,578.268578651827@gmail.com
125,9864.33225844754@gmail.com
126,18797.2277510653@gmail.com
127,871.868729663314@gmail.com
128,19057.3461920689@gmail.com
129,8600.03100408078@gmail.com
130,2566.890036467@gmail.com
131,9996.15540650883@gmail.com
132,12584.5651403388@gmail.com
133,18282.516418312@gmail.com
134,15757.825585448@gmail.com
135,4289.15945487539@gmail.com
136,4391.67731194198@gmail.com
137,1289.34025403555@gmail.com
138,1954.82767769531@gmail.com
139,12009.7997151883@gmail.com
140,10602.4826789247@gmail.com
141,11213.4270315354@gmail.com
142,10870.1628017344@gmail.com
143,10667.2268961505@gmail.com
144,4183.72920437832@gmail.com
145,10339.5167916794@gmail.com
146,8370.61598805618@gmail.com
147,19644.5908833628@gmail.com
148,1197.29679349577@gmail.com
149,16388.0109618243@gmail.com
150,16726.3107966995@gmail.com
151,9413.90573980869@gmail.com
152,13808.8124976198@gmail.com
153,1706.13491303567@gmail.com
154,1821.09051064844@gmail.com
155,16166.5401725082@gmail.com
156,2990.84284606599@gmail.com
157,17828.3194890614@gmail.com
158,2391.30490635498@gmail.com
159,8868.09606517223@gmail.com
160,12017.8693195859@gmail.com
161,7760.45743682864@gmail.com
162,17213.6102343365@gmail.com
163,14546.544430597@gmail.com
164,19194.2486312336@gmail.com
